suburb,local_goverment_area,postcode
Delan,Bundaberg (Regional Council),4671
Taragoola,Gladstone (Regional Council),4680
Gooroolba,North Burnett (Regional Council),4625
Stonehenge,Barcoo (Shire),4730
Mp Creek,South Burnett (Regional Council),4606
Barambah,Gympie (Regional Council),4601
Edward River,Cook (Shire),4892
Milora,Scenic Rim (Regional Council),4309
Lumeah,Blackall-Tambo (Regional Council),4478
Suttor,Isaac (Regional Council),4743
Patrick,Barcaldine (Regional Council),4725
Welsby,Moreton Bay (Regional Council),4507
Homebush,Mackay (Regional Council),4740
Brookhill,Townsville (City),4816
Byellee,Gladstone (Regional Council),4680
Nome,Townsville (City),4816
Woodstock,Townsville (City),4816
Barringha,Townsville (City),4816
Shelly Beach,Townsville (City),4810
Gumlow,Townsville (City),4815
Cameron Corner,Bulloo (Shire),4492
Cuttaburra,Paroo (Shire),4490
Murray,Townsville (City),4814
Wallaman,Hinchinbrook (Shire),4850
Whetstone,Goondiwindi (Regional Council),4387
Cement Mills,Goondiwindi (Regional Council),4352
Greenswamp,Western Downs (Regional Council),4413
Freshwater Point,Mackay (Regional Council),4737
Baking Board,Western Downs (Regional Council),4413
Crossroads,Western Downs (Regional Council),4413
North Eton,Mackay (Regional Council),4741
Caldervale,Blackall-Tambo (Regional Council),4478
Girraween,Southern Downs (Regional Council),4382
Fleurbaix,Southern Downs (Regional Council),4375
Goldfields,Southern Downs (Regional Council),4374
Aldoga,Gladstone (Regional Council),4694
Nine Mile Creek,Rockhampton (Regional Council),4714
Fletcher Creek,Rockhampton (Regional Council),4714
Chahpingah,South Burnett (Regional Council),4610
Wujal Wujal,Wujal Wujal (Shire),4895
Moongan,Rockhampton (Regional Council),4714
Chelmsford,South Burnett (Regional Council),4606
Alice Creek,South Burnett (Regional Council),4610
Piturie,Boulia (Shire),4825
Electra,Bundaberg (Regional Council),4670
South Ripley,Ipswich (City),4306
Kairabah,Logan (City),4207
Shirbourne,Burdekin (Shire),4809
Oyster Creek,Gladstone (Regional Council),4674
Owens Creek,Mackay (Regional Council),4741
Durham,Bulloo (Shire),4480
Dalcouth,Southern Downs (Regional Council),4380
Bapaume,Southern Downs (Regional Council),4352
Narbethong,Barcaldine (Regional Council),4725
Dows Creek,Mackay (Regional Council),4754
Mount Marrow,Ipswich (City),4306
Conway,Whitsunday (Regional Council),4800
Spring Bluff,Toowoomba (Regional Council),4352
